"","MCS.F.1","MCS.F.2","MCS.F.3","MCS.F.4","MCS.M.1","MCS.M.2","MCS.M.3","PR.F.1","PR.F.2","PR.F.4","PR.M.1","PR.M.2","PR.M.3"
"ENSMUSG00000005237_Dnah2",-1.45779864793609,-1.43110788982451,-1.42555016446067,-1.58244407418826,-1.16105941981264,-1.6519899906941,-1.02246702487896,-1.36557867777947,-1.48110228981523,-1.1321417609089,-1.5764889065515,-1.26087400283546,-1.56484238992497
"ENSMUSG00000003934_Efnb3",3.59800546324301,3.25095651242952,3.96424691423976,3.48248948987706,3.55982698548637,3.23137693686099,3.52975833469019,3.66730492391995,3.69606254718152,3.95180830911059,3.71949175437065,3.42768979516891,3.07060596384299
"ENSMUSG00000041346_Wrap53",3.45126143041544,3.21120710156703,3.46280138860049,2.87255194287421,3.24588256863475,3.38444081067063,3.31571373648564,3.17803797864303,3.25412083684259,3.33137213299235,3.43833163053806,3.11821297661259,3.06038861926689
"ENSMUSG00000059552_Trp53",4.19006211543763,4.21711657095677,4.40162138784004,3.97225732949364,4.16282961042465,4.16283990278158,4.18028708188116,4.08919432205589,4.27319524779706,4.27833268082719,4.22243390140995,4.18480443272829,4.15608474186488
"ENSMUSG00000041329_Atp1b2",0.318016368030783,0.00845094055765003,0.173992114284764,0.307456976261404,0.0379165640640623,-0.394396303469893,-0.179706930623028,0.414782688262666,0.755414709688899,0.551747228630125,0.437969187746817,0.428184080591693,0.148955140287238
"ENSMUSG00000069835_Sat2",0.449347381148032,0.794920889227794,0.497370115795613,0.907172049941861,0.850469805812187,0.424093310328606,0.929392409731486,0.748121874072059,0.876474624509144,1.2432474896794,0.931751495551258,0.974067243681925,0.530804675244151
"ENSMUSG00000018765_Fxr2",5.58053594741914,5.58984296989875,5.73630183104465,5.36860169538931,5.42008774080063,5.50225970940039,5.4954323703842,5.4956626596609,5.29742797133431,5.47459631531712,5.39739019363509,5.3259236926732,5.10306364380906
"ENSMUSG00000018761_Mpdu1",3.57764100158912,3.51412900484255,3.74285846046372,3.2443253117333,3.3868127805201,3.45528452006141,3.45662342522261,3.40091830031651,3.3378292379525,3.57563413179491,3.48360303663433,3.2975400718116,3.14983978707259
"ENSMUSG00000018774_Cd68",0.696001943563864,-0.0606443863571961,-0.0546572609255395,0.662681161763654,0.693913079253816,0.61858584377952,0.509670356879945,-0.444997178996025,1.34056161602744,0.0965623626615137,0.456253137115018,0.80186998944639,0.272119324682695
"ENSMUSG00000059796_Eif4a1",4.69719127335435,4.63817688600273,4.52368687913202,4.36354823955285,4.83894447093582,4.48320624297357,4.39329557496165,4.38072891181205,4.63735023740052,4.38426082744285,4.39467071718874,4.43672718130909,4.29908742466009
"ENSMUSG00000005204_Senp3",3.89651029466424,4.02206320904104,3.93557993798805,3.86845145584607,3.95106813053319,4.02009146625136,4.05809616989677,3.82633063667058,3.99048705850869,4.03508211390037,3.90730196203108,3.82642646653229,3.87635494990387
